,movie title,year,rating
0,Wonder Woman,"<span class=""subtle start-year"">(2017)</span>","<span class=""tMeterScore"">83%</span>"
1,Wonder Woman 1984,"<span class=""subtle start-year"">(2020)</span>","<span class=""tMeterScore"">73%</span>"
2,Man of Steel,"<span class=""subtle start-year"">(2013)</span>","<span class=""tMeterScore"">75%</span>"
3,Batman v Superman: Dawn of Justice,"<span class=""subtle start-year"">(2016)</span>","<span class=""tMeterScore"">63%</span>"
4,Suicide Squad,"<span class=""subtle start-year"">(2016)</span>","<span class=""tMeterScore"">58%</span>"
5,Justice League,"<span class=""subtle start-year"">(2017)</span>","<span class=""tMeterScore"">68%</span>"
6,Zack Snyder's Justice League,"<span class=""subtle start-year"">(2021)</span>","<span class=""tMeterScore"">94%</span>"
7,Aquaman,"<span class=""subtle start-year"">(2018)</span>","<span class=""tMeterScore"">73%</span>"
8,Shazam!,"<span class=""subtle start-year"">(2019)</span>","<span class=""tMeterScore"">82%</span>"
9,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),"<span class=""subtle start-year"">(2020)</span>","<span class=""tMeterScore"">78%</span>"
10,The Suicide Squad,"<span class=""subtle start-year"">(2021)</span>","<span class=""subtle start-year"">(2021)</span>"
11,Peacemaker,"<span class=""subtle start-year"">(2022)</span>","<span class=""tMeterScore"">82%</span>"
12,Black Adam,"<span class=""subtle start-year"">(2022)</span>","<span class=""tMeterScore"">89%</span>"
